# Generated by tools/gen_model_lights.py; one row per light, model path stem lowercase.
model,family,r,g,b,intensity,attenStart,attenEnd,x,y,z
world\expansion02\doodads\generic\vrykul\lamppost\vr_lamppost_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,1.717,-0.002,4.908
world\expansion02\doodads\generic\vrykul\lamppost\vr_lamppost_02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.341,-0.018,7.888
world\expansion02\doodads\generic\vrykul\lamppost\vr_lamppost_03,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.198,-0.008,8.154
world\expansion02\doodads\generic\vrykul\lamppost\vr_lamppost_snow_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,1.717,-0.002,4.908
world\expansion02\doodads\generic\vrykul\lamppost\vr_lamppost_snow_01blue,streetlamp,0.400,0.600,1.000,1.00,3.00,12.00,1.717,-0.002,4.908
world\expansion02\doodads\generic\vrykul\lights\vr_chandelier_purple_01,chandelier,0.750,0.400,1.000,1.00,3.00,10.00,-0.034,0.054,1.759
world\expansion02\doodads\generic\vrykul\lights\vr_standinglight_01,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.004,-0.051,5.468
world\expansion02\doodads\generic\vrykul\lights\vr_standinglight_purple_01,walllight,0.750,0.400,1.000,0.80,2.00,8.00,-0.031,-0.036,6.619
world\expansion02\doodads\generic\vrykul\lights\vr_standinglight_snow_01,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.004,-0.051,5.468
world\expansion02\doodads\generic\vrykul\lights\vr_standinglight_snow_blue_01,walllight,0.400,0.600,1.000,0.80,2.00,8.00,0.004,-0.051,5.468
world\expansion02\doodads\generic\vrykul\torch\vr_torch_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.243,-0.012,4.243
world\expansion02\doodads\generic\vrykul\torch\vr_torch_01_blue,torch,0.400,0.600,1.000,1.00,2.00,8.00,1.243,-0.012,4.243
world\expansion02\doodads\generic\vrykul\torch\vr_torch_snow01,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.243,-0.012,4.243
world\expansion02\doodads\generic\wolvar\wolvar_forge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.055,-0.013,0.237
world\expansion02\doodads\grizzlyhills\trappers\trapperlamppost_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.023,-0.001,2.046
world\expansion02\doodads\icecrown\bloodprince\icecrown_bloodchandelier_01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.072,-0.030,33.154
world\expansion02\doodads\icecrown\lights\icecrown_blue_fire,fire,0.400,0.600,1.000,1.00,2.00,8.00,3.613,0.047,7.991
world\expansion02\doodads\icecrown\lights\icecrown_chandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.084,-0.120,31.724
world\expansion02\doodads\icecrown\lights\icecrown_green_fire,fire,0.400,1.000,0.350,1.00,2.00,8.00,2.335,0.004,15.154
world\expansion02\doodads\icecrown\lights\icecrown_greenpillar_fire,fire,0.400,1.000,0.350,1.00,2.00,8.00,0.000,0.000,1.578
world\expansion02\doodads\icecrown\lights\icecrown_hangingbraizer_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.028,0.156,2.088
world\expansion02\doodads\icecrown\lights\icecrown_lablamp,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-7.574,-3.828,-3.294
world\expansion02\doodads\icecrown\lights\icecrown_wallsconce_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.031,0.534,0.222
world\expansion02\doodads\icecrown\runeforge\icecrown_runeforge_green,hearth,0.400,1.000,0.350,1.00,2.00,8.00,-1.276,-0.036,32.275
world\expansion02\doodads\icecrown\runeforge\icecrown_runeforge_orange,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-2.254,-0.036,32.530
world\expansion02\doodads\nexus\nexus_fire_conduit,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.016,10.544,8.884
world\expansion02\doodads\stratholme_past\ld_stratholmestreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.000,0.000,4.348
world\expansion02\doodads\ulduar\ul_brazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.004,-0.001,2.160
world\expansion02\doodads\ulduar\ul_chandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.009,0.042,-1.572
world\expansion02\doodads\ulduar\ul_chandelier02,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.091,-0.000,-0.829
world\expansion02\doodads\ulduar\ul_chandelier_effects01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.306,-0.209,70.198
world\expansion02\doodads\ulduar\ul_forge_iron_press,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-430.087,-0.126,-25.795
world\expansion02\doodads\ulduar\ul_forge_lava,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.352,0.011,0.861
world\expansion02\doodads\ulduar\ul_torch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.004,-0.001,0.570
world\expansion02\doodads\ulduar\ul_torch02,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.353,0.002,-1.165
world\expansion02\doodads\valgrade\valgrade_fire\valgarde_fire,fire,1.000,0.500,0.180,1.00,2.00,8.00,5.886,0.853,34.241
world\expansion02\doodads\wintertauren\wt_brazier_lit,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.012,0.010,5.216
world\expansion02\doodads\wintertauren\wt_lamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.066,-0.002,1.014
world\expansion02\doodads\wintertauren\wt_lamppost01_wreckeda,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.027,-0.066,1.969
world\expansion02\doodads\wintertauren\wt_lamppost01_wreckedb,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.097,-0.073,1.949
world\expansion02\doodads\wintertauren\wt_lamppost01_wreckedc,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.044,0.047,1.377
world\expansion02\doodads\wintertauren\wt_lantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.010,0.000,0.775
world\expansion02\doodads\wintertauren\wt_lanternhanging01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.010,-0.002,1.580
world\expansion02\doodads\wintertauren\wt_pyre01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.003,0.051,2.725
world\expansion02\doodads\wintertauren\wt_pyre02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.002,0.051,3.137
world\expansion02\doodads\zuldrak\decorations\zuldrak_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.001,-0.343,16.587
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.319,-0.020,0.219
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_01_low,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.069,0.074,2.058
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_02,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.071,0.306,0.183
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_02b,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.071,0.031,0.183
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_03,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.010,-0.308,1.054
world\expansion02\doodads\zuldrak\decorations\zuldrak_torch_04,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.362,0.306,0.183
world\expansion02\doodads\zuldrak\lightfx\zuldrak_blue_fire,fire,0.400,0.600,1.000,1.00,2.00,8.00,0.071,0.021,10.876
world\expansion02\doodads\zuldrak\lightfx\zuldrak_blue_fire02,fire,0.400,0.600,1.000,1.00,2.00,8.00,0.330,-0.166,8.806
world\expansion02\doodads\zuldrak\trollruins\it_brazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.666,-0.726,13.447
world\expansion02\doodads\zuldrak\trollruins\it_brazier02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.397,-0.576,6.361
world\expansion02\doodads\zuldrak\trollruins\it_brazier03,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.166,0.037,3.555
world\expansion03\doodads\twilighthammer\magicaldevices\twilightshammer_magicaldevice_04fire,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.012,-0.002,0.622
world\expansion03\doodads\twilighthammer\summoningportals\twilightshammer_summoningportal_fire01,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.170,0.071,14.448
world\exteriordesigners\zuldrak\ed_zuldrakbridge_fire,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.071,0.019,8.486
world\exteriordesigners\zuldrak\ed_zuldrakbridge_fire_02,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.000,0.000,27.706
world\exteriordesigners\zuldrak\ed_zuldrakbridge_fire_03,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.928,0.531,9.208
world\generic\activedoodads\spellportals\mageportal_ironforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,1.979
world\generic\bloodelf\passive doodads\be_lantern_blue_001,lantern,0.400,0.600,1.000,0.80,2.00,7.00,0.067,-0.030,3.763
world\generic\bloodelf\passive doodads\be_lantern_red_001,lantern,1.000,0.300,0.200,0.80,2.00,7.00,0.047,-0.032,3.934
world\generic\darkirondwarf\passive doodads\lamps\darkironhanginglamp01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.063,-0.035,-1.414
world\generic\darkirondwarf\passive doodads\lamps\darkironhanginglamp02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.063,-0.035,-1.414
world\generic\dwarf\passive doodads\banners\ironforgebanner01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.311,0.000,1.337
world\generic\dwarf\passive doodads\banners\ironforgebanner_ornate01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.250,0.000,5.828
world\generic\dwarf\passive doodads\banners\ironforgebannerstill,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.070,0.000,1.338
world\generic\dwarf\passive doodads\benches\ironforgebench_average01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,0.335
world\generic\dwarf\passive doodads\benches\ironforgebench_ornate01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.019,0.000,0.334
world\generic\dwarf\passive doodads\benches\ironforgebench_simple01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.011,0.000,0.298
world\generic\dwarf\passive doodads\braziers\dwarvenbrazier02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.012,0.015,0.642
world\generic\dwarf\passive doodads\braziers\stormwinddwarfbrazier,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.002,-0.005,1.025
world\generic\dwarf\passive doodads\chairs\ironforgechair_average01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.022,-0.000,1.445
world\generic\dwarf\passive doodads\chairs\ironforgechair_ornate01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.138,0.000,2.773
world\generic\dwarf\passive doodads\chairs\ironforgechair_simple01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,-0.000,0.348
world\generic\dwarf\passive doodads\forgebonfire\forgebonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.008,0.036,0.384
world\generic\dwarf\passive doodads\lampposts\anvilmarlamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.049,0.001,1.872
world\generic\dwarf\passive doodads\lampposts\lochlamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.049,0.001,1.779
world\generic\dwarf\passive doodads\lanterns\dwarvenhanginglanternhuge,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.022,-0.006,0.046
world\generic\dwarf\passive doodads\lanterns\dwarvenhanginglanternlarge01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.001,-0.001,0.722
world\generic\dwarf\passive doodads\lanterns\dwarvenhanginglanternmedium01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.001,0.003,0.480
world\generic\dwarf\passive doodads\lanterns\dwarvenhanginglanternsmall01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.003,0.004,0.230
world\generic\dwarf\passive doodads\lanterns\giantlantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,8.766,-0.009,-1.546
world\generic\dwarf\passive doodads\lanterns\ironforgehanginglantern01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.004,0.000,-1.666
world\generic\dwarf\passive doodads\lanterns\ironforgehanginglantern_new,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.086,-0.013,-1.098
world\generic\dwarf\passive doodads\lanterns\mediumlantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,2.835,-0.009,-1.069
world\generic\dwarf\passive doodads\lanterns\mediumlantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,2.835,-0.009,-1.069
world\generic\dwarf\passive doodads\lanterns\mininglamp01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.005,-0.269,0.444
world\generic\dwarf\passive doodads\lanterns\mininglamp02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.005,-0.269,0.444
world\generic\dwarf\passive doodads\lanterns\new_large_lantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.749,-0.037,3.629
world\generic\dwarf\passive doodads\lanterns\new_medium_lantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-1.151,0.011,0.649
world\generic\dwarf\passive doodads\lanterns\new_small_lantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,-0.002,1.052
world\generic\dwarf\passive doodads\lanterns\new_small_lantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,-0.002,1.052
world\generic\dwarf\passive doodads\lanterns\smalllantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.007,-0.009,-0.555
world\generic\dwarf\passive doodads\lanterns\smalllantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.007,-0.009,-0.619
world\generic\human\passive doodads\braziers\humanbraziercorrupt,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.016,0.022,0.855
world\generic\human\passive doodads\braziers\humanbraziermagic,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.016,0.022,0.855
world\generic\human\passive doodads\braziers\stormwindbrazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.029,-0.031,0.655
world\generic\human\passive doodads\candelabras\candelabratall01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.001,0.000,2.515
world\generic\human\passive doodads\candelabras\candelabratall02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.001,-0.002,3.116
world\generic\human\passive doodads\candelabras\generalcandelabra01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.005,0.003,1.226
world\generic\human\passive doodads\hanginglanterns\generalhanginglantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.000,0.000,0.503
world\generic\human\passive doodads\hanginglanterns\generalhanginglanternlong,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.030,0.010,-2.815
world\generic\human\passive doodads\lampposts\duskwoodlamppost,greenlamp,0.450,1.000,0.720,1.20,3.00,12.00,0.091,0.960,2.840
world\generic\human\passive doodads\lamps\plaguelandslamp,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.011,-0.088,0.644
world\generic\human\passive doodads\lamps\stormwindcanallamp01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.000,0.000,3.626
world\generic\human\passive doodads\lamps\stormwindstreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.000,0.000,4.348
world\generic\human\passive doodads\lamps\tirisfallstreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.000,0.000,4.348
world\generic\human\passive doodads\lamps\westernplaguelandslampost01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.072,0.469,4.362
world\generic\human\passive doodads\lamps\westernplaguelandslampost02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.036,-0.159,4.383
world\generic\human\passive doodads\lamps\westernplaguelandslampoststraight,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.045,-0.008,4.359
world\generic\human\passive doodads\lanterns\generallantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.012,0.003,0.436
world\generic\human\passive doodads\lanterns\generallantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,0.006,1.234
world\generic\human\passive doodads\lanterns\generallantern03,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,0.006,0.436
world\generic\human\passive doodads\lanterns\generallantern04,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,0.006,1.613
world\generic\human\passive doodads\stonepyres\stonepyre01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.108,-0.015,4.948
world\generic\magehunter\passive doodads\brazier\mh_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.000,0.008,2.140
world\generic\magehunter\passive doodads\brazier\mh_brazier_02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.284,0.007,2.020
world\generic\nightelf\passive doodads\candles\ne_candle01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.001,0.001,0.276
world\generic\nightelf\passive doodads\candles\ne_floatingcandles,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.025,0.194,0.840
world\generic\nightelf\passive doodads\lamps\darnassusstreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.014,-0.479,4.713
world\generic\nightelf\passive doodads\lamps\darnassusstreetlamp02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.025,0.001,5.376
world\generic\nightelf\passive doodads\lamps\darnassuswreckedstreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.771,0.490,3.076
world\generic\nightelf\passive doodads\lamps\darnassuswreckedstreetlamp02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.769,-1.758,2.460
world\generic\nightelf\passive doodads\lamps\kalidarstreetlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.025,-1.132,4.596
world\generic\nightelf\passive doodads\lamps\kalidarstreetlamp02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.025,0.118,4.132
world\generic\nightelf\passive doodads\lanterns\nightelfhanginglantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.030,-0.058,-2.110
world\generic\nightelf\passive doodads\lanterns\nightelflantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.032,0.007,0.922
world\generic\nightelf\passive doodads\lanterns\nightelflantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.161,0.090,1.086
world\generic\ogre\passive doodads\torches\ogrewalltorch,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.671,-0.000,2.042
world\generic\ogre\passive doodads\torches\ogrewalltorchblue,torch,0.400,0.600,1.000,1.00,2.00,8.00,-0.776,-0.000,2.419
world\generic\ogre\passive doodads\torches\ogrewalltorchgreen,torch,0.400,1.000,0.350,1.00,2.00,8.00,-0.741,-0.000,2.410
world\generic\ogre\passive doodads\torches\ogrewalltorchpurple,torch,0.750,0.400,1.000,1.00,2.00,8.00,-0.776,-0.000,2.419
world\generic\ogre\passive doodads\torches\ogrewalltorchred,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.715,-0.001,2.152
world\generic\orc\passive doodads\braziers\blackrockorccampfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.017,0.071,0.447
world\generic\orc\passive doodads\braziers\mediumbraziernoomni01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.006,0.021,2.284
world\generic\orc\passive doodads\braziers\mediumbrazierpurple01,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.006,0.021,2.296
world\generic\orc\passive doodads\braziers\orcbrazier_campfire01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.017,0.071,0.366
world\generic\orc\passive doodads\braziers\orcpvpbonfirelarge,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.185,-0.069,2.122
world\generic\orc\passive doodads\braziers\smallbraziernoomni01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.033,0.152,0.665
world\generic\orc\passive doodads\braziers\smallbrazierpurple01,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.033,0.152,0.665
world\generic\orc\passive doodads\braziers\smallbrazierpurplehanging,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.033,0.152,0.665
world\generic\orc\passive doodads\braziers\tallbraziernoomni01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.006,-0.026,1.571
world\generic\orc\passive doodads\firepits\smallfirepit01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.037,-0.032,0.800
world\generic\orc\passive doodads\lampposts\orcbrazier_lightpostbarrens,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.062,0.286,1.244
world\generic\orc\passive doodads\lampposts\orcbrazierlamppost01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.100,0.210,1.516
world\generic\orc\passive doodads\lampposts\orcbrazierstreetlamp,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.004,-0.001,0.948
world\generic\orc\passive doodads\lanterns\orchanginglantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.673,-0.149,0.903
world\generic\orc\passive doodads\stonebrazier\wailingstonebrazier,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.020,-0.003,1.942
world\generic\orc\passive doodads\voodoostuff\skullcandle01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.049,0.004,0.535
world\generic\orc\passive doodads\voodoostuff\skullcandle02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.008,0.002,0.359
world\generic\passivedoodads\lights\bigcandle,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.000,0.001,2.394
world\generic\passivedoodads\lights\candelabra01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.001,0.000,0.503
world\generic\passivedoodads\lights\candelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.001,0.008,0.534
world\generic\passivedoodads\lights\candelabratallwall01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.008,-0.003,3.007
world\generic\passivedoodads\lights\candelabratallwall02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.006,-0.001,3.626
world\generic\passivedoodads\lights\candle01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.003,0.004,0.535
world\generic\passivedoodads\lights\candle02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.003,-0.001,0.440
world\generic\passivedoodads\lights\candle03,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.003,-0.001,0.440
world\generic\passivedoodads\lights\candleblack01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.003,-0.001,0.579
world\generic\passivedoodads\lights\chandelier01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.103,0.061,1.229
world\generic\passivedoodads\lights\freestandingtorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.009,-0.007,2.053
world\generic\passivedoodads\lights\freestandingtorch02,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.005,-0.001,1.770
world\generic\passivedoodads\lights\freestandingtorch04_giant,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.008,-0.001,0.729
world\generic\passivedoodads\lights\freestandingtorch04_huge,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.003,-0.004,1.979
world\generic\passivedoodads\lights\freestandingtorch04_hugeblue,torch,0.400,0.600,1.000,1.00,2.00,8.00,-0.049,-0.000,1.970
world\generic\passivedoodads\lights\generaltorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.017,-0.014,2.080
world\generic\passivedoodads\lights\generaltorch02,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.017,-0.014,1.501
world\generic\passivedoodads\lights\torch,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.008,-0.001,0.755
world\generic\passivedoodads\lights\torch_out,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.095,-0.001,1.008
world\generic\passivedoodads\lunarnewyear\lunarnewyearlantern_alliance_hanging,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.009,-0.019,0.043
world\generic\passivedoodads\lunarnewyear\lunarnewyearlantern_alliance_standing,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.001,-0.911,4.410
world\generic\passivedoodads\lunarnewyear\lunarnewyearlantern_horde_hanging,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.000,-0.004,-1.182
world\generic\passivedoodads\lunarnewyear\lunarnewyearlantern_horde_standing,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.000,-0.494,5.141
world\generic\passivedoodads\oktoberfest\beerfest_brazier_02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.001,-0.000,0.632
world\generic\passivedoodads\oktoberfest\beerfest_brazier_03,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.006,-0.001,0.328
world\generic\passivedoodads\particleemitters\sunkenflame01,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.008,-0.001,0.121
world\generic\passivedoodads\ships\shipanimation\vrykul_flame_particle,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.012,-0.000,7.079
world\generic\passivedoodads\summerfestival\summerfest_bonfire_base_01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.023,-0.043,4.390
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.037,0.008,0.897
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.041,0.040,3.637
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large02,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.035,-0.032,0.900
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large02,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.041,-0.083,3.637
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large03,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.033,-0.054,0.889
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large03,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.041,0.021,3.637
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large04,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.035,-0.019,0.900
world\generic\passivedoodads\summerfestival\summerfest_bonfire_large04,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.041,-0.048,3.637
world\generic\passivedoodads\summerfestival\summerfest_bonfire_on,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.033,-0.015,0.897
world\generic\passivedoodads\summerfestival\summerfest_bonfire_on,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.040,0.044,3.736
world\generic\passivedoodads\summerfestival\summerfest_bonfire_small01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.018,0.017,0.217
world\generic\passivedoodads\summerfestival\summerfest_bonfire_small02,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.018,0.003,0.217
world\generic\passivedoodads\summerfestival\summerfest_bonfire_small03,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.018,0.015,0.217
world\generic\passivedoodads\summerfestival\summerfest_bonfire_small04,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.018,-0.004,0.217
world\generic\passivedoodads\summerfestival\summerfest_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.005,0.018,1.579
